ID,Treść,Autor,Data
1660602963751059462,"This is art
#bejba https://t.co/6g59BgkYAL",PateCrouteKelu,2023-05-22 11:06:13+00:00
1660549908972150784,#matura2023 #egzaminosmoklasisty2023 #eurowizja2023 #bejba #SouthPark #cartman https://t.co/SRvVeZ9OJ4,BedWarsiary,2023-05-22 07:35:24+00:00
1660517063490695168,"And “#Solo” by #Blanka Stajkow 🇵🇱 #Bejba

@iTunes @Spotify @tiktok_us @YouTube

#TeamBlankaStajkow

#ESC #ESC2023 #Eurovision #Eurovision2023 #EurovisionSongContest #EurovisionSongContest2023

#ThankYouBlanka #ThankYouPoland ❤️🤍 https://t.co/Xf4woQdCMb",KrystianLiikka,2023-05-22 05:24:53+00:00
1660410973121904641,"Ważna sprawa, 
Czy ktoś z was ma nagrany fragment występu Blanki w Rawiczu, na którym śpiewa #supermodel od Måneskin? Aktualnie potrzebuję tego bardziej niż tlenu.
#Blanka #Rawicz #Solo #bejba",spod_do_pizzy,2023-05-21 22:23:19+00:00
1660305198357544960,"“Now I'm better solo,solo
I never let me down,didi down down down…”

“#Solo” by #Blanka Stajkow 🇵🇱 #Bejba

#TeamBlankaStajkow

#ESC #ESC2023 #Eurovision #Eurovision2023 #EurovisionSongContest #EurovisionSongContest2023

#ThankYouBlanka #ThankYouPoland ❤️🤍 https://t.co/paJ0oKo4KH",KrystianLiikka,2023-05-21 15:23:00+00:00
1660272722440486912,"Do you think that Poland's entry in this year's Eurovision Song Contest, is plagiarized? #Eurovision    #Eurovision2023    #bejba https://t.co/QwVJjy8jUB",StratisBal,2023-05-21 13:13:58+00:00
1660266830815023104,"@ #Blanka Stajkow 🇵🇱 #Bejba #Solo

#TeamBlankaStajkow

#ESC #ESC2023 #Eurovision #Eurovision2023 #EurovisionSongContest #EurovisionSongContest2023

#ThankYouBlanka #ThankYouPoland ❤️🤍 https://t.co/no02ihsjOy",KrystianLiikka,2023-05-21 12:50:33+00:00
1660260767751389184,"#Blanka Stajkow 🇵🇱 24/7 support. #Bejba #Solo

#TeamBlankaStajkow

#ESC #ESC2023 #Eurovision #Eurovision2023 #EurovisionSongContest #EurovisionSongContest2023

#ThankYouBlanka #ThankYouPoland ❤️🤍 https://t.co/E0lAttupQc",KrystianLiikka,2023-05-21 12:26:27+00:00
1660241673345982464,"#Blanka Stajkow 🇵🇱 #Bejba #Solo

#TeamBlankaStajkow

#ESC #ESC2023 #Eurovision #Eurovision2023 #EurovisionSongContest #EurovisionSongContest2023

#ThankYouBlanka #ThankYouPoland ❤️🤍 https://t.co/2YKN0kkVHv",KrystianLiikka,2023-05-21 11:10:35+00:00
1660233952055918592,"Or the better anagram:

#Blanka Stajkow 🇵🇱 #Bejba #Solo

#TeamBlankaStajkow

#ESC #ESC2023 #Eurovision #Eurovision2023 #EurovisionSongContest #EurovisionSongContest2023

#ThankYouBlanka #ThankYouPoland ❤️🤍 https://t.co/MdKrxnPeSE",KrystianLiikka,2023-05-21 10:39:54+00:00
1660213616035995648,"Bejba just murdered Maneskin help and said they won Esc with Supermodel
#Eurovision #Eurovision2023 #maneskin #bejba https://t.co/MWEHM4scTu",shushupoee,2023-05-21 09:19:05+00:00
1660179055621165058,"#Blanka Stajkow 🇵🇱 #Bejba #Solo

#TeamBlankaStajkow

#ESC #ESC2023 #Eurovision #Eurovision2023 #EurovisionSongContest #EurovisionSongContest2023

#ThankYouBlanka #ThankYouPoland ❤️🤍

@iTunes @Spotify @tiktok_us @YouTube https://t.co/EQaLgmrwP6",KrystianLiikka,2023-05-21 07:01:46+00:00
1660176159689134085,"#Blanka Stajkow 🇵🇱 #Bejba #Solo

#TeamBlankaStajkow

#ESC #ESC2023 #Eurovision #Eurovision2023 #EurovisionSongContest #EurovisionSongContest2023

#ThankYouBlanka #ThankYouPoland ❤️🤍 https://t.co/k1upQ2haEH",KrystianLiikka,2023-05-21 06:50:15+00:00
1660068174950170626,Ferrari z tymi efektami wyglądał jak bejba na eurowizji #famemma18 #famemma #ferrari #bejba #Eurowizja https://t.co/kmaXnansT4,potoczkova,2023-05-20 23:41:10+00:00
1660026946380525569,Mój dzisiejszy dzień to takie jedno wielkie SOLO SOLO #Blanka #solo #bejba https://t.co/t8LQIvNSwj,babunia64,2023-05-20 20:57:20+00:00
1660007420029026309,@nieAnila Też tam byłam #bejba,Ziutka62106402,2023-05-20 19:39:45+00:00
