ID,Treść,Autor,Data
1660602963751059462,"This is art
#bejba https://t.co/6g59BgkYAL",PateCrouteKelu,
1660549908972150784,#matura2023 #egzaminosmoklasisty2023 #eurowizja2023 #bejba #SouthPark #cartman https://t.co/SRvVeZ9OJ4,BedWarsiary,
1660517063490695168,"And “#Solo” by #Blanka Stajkow 🇵🇱 #Bejba

@iTunes @Spotify @tiktok_us @YouTube

#TeamBlankaStajkow

#ESC #ESC2023 #Eurovision #Eurovision2023 #EurovisionSongContest #EurovisionSongContest2023

#ThankYouBlanka #ThankYouPoland ❤️🤍 https://t.co/Xf4woQdCMb",KrystianLiikka,
1660410973121904641,"Ważna sprawa, 
Czy ktoś z was ma nagrany fragment występu Blanki w Rawiczu, na którym śpiewa #supermodel od Måneskin? Aktualnie potrzebuję tego bardziej niż tlenu.
#Blanka #Rawicz #Solo #bejba",spod_do_pizzy,
1660305198357544960,"“Now I'm better solo,solo
I never let me down,didi down down down…”

“#Solo” by #Blanka Stajkow 🇵🇱 #Bejba

#TeamBlankaStajkow

#ESC #ESC2023 #Eurovision #Eurovision2023 #EurovisionSongContest #EurovisionSongContest2023

#ThankYouBlanka #ThankYouPoland ❤️🤍 https://t.co/paJ0oKo4KH",KrystianLiikka,
1660272722440486912,"Do you think that Poland's entry in this year's Eurovision Song Contest, is plagiarized? #Eurovision    #Eurovision2023    #bejba https://t.co/QwVJjy8jUB",StratisBal,
1660266830815023104,"@ #Blanka Stajkow 🇵🇱 #Bejba #Solo

#TeamBlankaStajkow

#ESC #ESC2023 #Eurovision #Eurovision2023 #EurovisionSongContest #EurovisionSongContest2023

#ThankYouBlanka #ThankYouPoland ❤️🤍 https://t.co/no02ihsjOy",KrystianLiikka,
1660260767751389184,"#Blanka Stajkow 🇵🇱 24/7 support. #Bejba #Solo

#TeamBlankaStajkow

#ESC #ESC2023 #Eurovision #Eurovision2023 #EurovisionSongContest #EurovisionSongContest2023

#ThankYouBlanka #ThankYouPoland ❤️🤍 https://t.co/E0lAttupQc",KrystianLiikka,
1660241673345982464,"#Blanka Stajkow 🇵🇱 #Bejba #Solo

#TeamBlankaStajkow

#ESC #ESC2023 #Eurovision #Eurovision2023 #EurovisionSongContest #EurovisionSongContest2023

#ThankYouBlanka #ThankYouPoland ❤️🤍 https://t.co/2YKN0kkVHv",KrystianLiikka,
1660233952055918592,"Or the better anagram:

#Blanka Stajkow 🇵🇱 #Bejba #Solo

#TeamBlankaStajkow

#ESC #ESC2023 #Eurovision #Eurovision2023 #EurovisionSongContest #EurovisionSongContest2023

#ThankYouBlanka #ThankYouPoland ❤️🤍 https://t.co/MdKrxnPeSE",KrystianLiikka,
